query_id;dop;execution_time;executor_start_time;query_used_mem;operator_mem;process_used_mem;estimate_work_mem;cstore_buffers;instance_mem;max_dynamic_memory;dynamic_startup_memory;init_used_memory;dynamic_peak_memory;other_memory;io_time;cpu_time;total_costs;operator_num;table_names;query_string;
13;64;2551.3;22.144;4321280;1394279;28985344;52428800;104857600;524288000;300350464;1747968;4742144;6069248;5854208;0;0;6.21859e+06;13;orders,customer;select  c_count,  count(*) as custdist from  (   select    c_custkey,    count(*)   from    customer left outer join orders on     c_custkey = o_custkey     and o_comment not like '%special%request%'   group by    c_custkey  ) as c_orders (c_custkey, c_count) group by  c_count order by  custdist desc,  c_count desc;
14;64;2315.74;10.703;3462144;1183225;52566016;52428800;104857600;524288000;300350464;1747968;3945472;5210112;8320000;0;0;4.31498e+06;9;part,lineitem;select  100 * sum(case   when p_type like 'PROMO%'    then l_extendedprice * (1 - l_discount)/10   else 0  end) / sum(l_extendedprice * (1 - l_discount)/1000) as promo_revenue  from  lineitem,  part where  l_partkey = p_partkey  and l_shipdate >= date '1995-09-01'  and l_shipdate < date '1995-09-01' + NUMTOYMINTERVAL(1,'month');
15;64;25108.9;0.206;189440;179314;46698496;52428800;104857600;524288000;300350464;1747968;1752064;1937408;5179392;0;0;6.42831e+07;10;lineitem,supplier;with revenue as (         select                 l_suppkey as supplier_no,                 sum(l_extendedprice * (1 - l_discount)) as total_revenue         from                 lineitem         where                 l_shipdate >= date '1996-01-01'                 and l_shipdate < date '1996-01-01' + NUMTOYMINTERVAL(3,'month')         group by                 l_suppkey ) select         s_suppkey,         s_name,         s_address,         s_phone,         total_revenue from         supplier,         revenue where         s_suppkey = supplier_no         and total_revenue = (                 select                         max(total_revenue)                 from                         revenue         ) order by         s_suppkey;
16;64;1036.51;27.694;3761152;541067;21499904;52428800;104857600;524288000;300350464;1747968;4884480;5509120;4781056;0;0;5.96067e+06;17;supplier,part,partsupp;select  p_brand,  p_type,  p_size,  count(ps_suppkey) as supplier_cnt  from  partsupp,  part where  p_partkey = ps_partkey  and p_brand <> 'Brand#45'  and p_type not like 'MEDIUM POLISHED%'  and p_size in (49, 14, 23, 45, 19, 3, 36, 9)  and ps_suppkey not in (   select    s_suppkey   from    supplier   where    s_comment like '%Customer%Complaints%'  ) group by  p_brand,  p_type,  p_size order by  supplier_cnt desc,  p_brand,  p_type,  p_size limit 100 ;
17;64;15900.7;24.358;45519872;41810964;48942080;52428800;104857600;524288000;300350464;1747968;4723712;47267840;8244224;0;0;1.96867e+07;14;part,lineitem;select  sum(l_extendedprice) / 7.0 as avg_yearly from  lineitem,  part,  (select       l_partkey as temp_l_partkey, 0.2 * avg(l_quantity) as temp_avg   from   lineitem   group by l_partkey  ) as temp where  p_partkey = l_partkey  and p_brand = 'Brand#23'  and p_container = 'MED BOX'  and l_quantity < temp_avg  and p_partkey = temp_l_partkey;
18;64;9246.53;19.653;26541056;23762029;47017984;52428800;104857600;524288000;300350464;1747968;5979136;28289024;10576896;0;0;1.52984e+07;22;lineitem,orders,customer;select  c_name,  c_custkey,  o_orderkey,  o_orderdate,  o_totalprice,  sum(l_quantity) from  customer,  orders,  lineitem where  o_orderkey in (   select    l_orderkey   from    lineitem   group by    l_orderkey having     sum(l_quantity) > 300  )  and c_custkey = o_custkey  and o_orderkey = l_orderkey group by  c_name,  c_custkey,  o_orderkey,  o_orderdate,  o_totalprice order by  o_totalprice desc,  o_orderdate limit 100;
19;64;4204.16;19.023;3026944;708171;94184448;52428800;104857600;524288000;300350464;1747968;4036608;4774912;13899776;0;0;3.75885e+06;9;part,lineitem;select  sum(l_extendedprice* (1 - l_discount)) as revenue from  lineitem,  part where  (   p_partkey = l_partkey   and p_brand = 'Brand#12'   and p_container in ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')   and l_quantity >= 1 and l_quantity <= 1 + 10   and p_size between 1 and 5   and l_shipmode in ('AIR', 'AIR REG')   and l_shipinstruct = 'DELIVER IN PERSON'  )  or  (   p_partkey = l_partkey   and p_brand = 'Brand#23'   and p_container in ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')   and l_quantity >= 10 and l_quantity <= 10 + 10   and p_size between 1 and 10   and l_shipmode in ('AIR', 'AIR REG')   and l_shipinstruct = 'DELIVER IN PERSON'  )  or  (   p_partkey = l_partkey   and p_brand = 'Brand#34'   and p_container in ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')   and l_quantity >= 20 and l_quantity <= 20 + 10   and p_size between 1 and 15   and l_shipmode in ('AIR', 'AIR REG')   and l_shipinstruct = 'DELIVER IN PERSON'  );
20;64;3175.12;51.033;13334528;9223688;49312768;52428800;104857600;524288000;300350464;1747968;5263360;15082496;8003584;0;0;3.24787e+07;16;lineitem,part,partsupp,nation,supplier;select  s_name,  s_address from  supplier,  nation where  s_suppkey in (   select    ps_suppkey   from    partsupp,    (     select      l_partkey as temp_l_partkey, l_suppkey as temp_l_suppkey, 0.5 * sum(l_quantity) as temp_l_quantity     from      lineitem     where      l_shipdate >= date '1994-01-01'      and l_shipdate < date '1994-01-01' + NUMTOYMINTERVAL(1,'year')     group by l_partkey, l_suppkey    ) as temp   where       temp_l_partkey = ps_partkey    and temp_l_suppkey = ps_suppkey    and ps_partkey in (     select      p_partkey     from      part     where      p_name like 'forest%'    )    and ps_availqty > temp_l_quantity  )  and s_nationkey = n_nationkey  and n_name = 'CANADA' order by  s_name;
21;64;10907.9;117.427;52784128;46235518;47950848;52428800;104857600;524288000;300350464;1747968;8690688;54532096;9468928;0;0;2.26502e+07;26;nation,orders,lineitem,supplier;select  s_name,  count(*) as numwait from  supplier,  lineitem l1,  orders,  nation where  s_suppkey = l1.l_suppkey  and o_orderkey = l1.l_orderkey  and o_orderstatus = 'F'  and l1.l_receiptdate > l1.l_commitdate  and exists (   select    *   from    lineitem l2   where    l2.l_orderkey = l1.l_orderkey    and l2.l_suppkey <> l1.l_suppkey  )  and not exists (   select    *   from    lineitem l3   where    l3.l_orderkey = l1.l_orderkey    and l3.l_suppkey <> l1.l_suppkey    and l3.l_receiptdate > l3.l_commitdate  )  and s_nationkey = n_nationkey  and n_name = 'SAUDI ARABIA' group by  s_name order by  numwait desc,  s_name limit 100;
22;64;2271.86;16.53;2796544;370801;18712576;52428800;104857600;524288000;300350464;1747968;3957760;4544512;3811328;0;0;6.15593e+06;13;orders,customer;select  cntrycode,  count(*) as numcust,  sum(c_acctbal) as totacctbal from  (   select    substring(c_phone from 1 for 2) as cntrycode,    c_acctbal   from    customer   where    substring(c_phone from 1 for 2) in     ('13', '31', '23', '29', '30', '18', '17')    and c_acctbal > (     select      avg(c_acctbal)     from      customer     where      c_acctbal > 0.00      and substring(c_phone from 1 for 2) in       ('13', '31', '23', '29', '30', '18', '17')    )    and not exists (     select      *     from      orders     where      o_custkey = c_custkey    )  ) as custsale group by  cntrycode order by  cntrycode;
