Query ID;Query DOP;Query ID (Mapped);Actual Execution Time (s);Predicted Execution Time (s);Actual Memory Usage (MB);Predicted Memory Usage (MB);Execution Time Q-error;Memory Q-error;Time Calculation Duration (s);Memory Calculation Duration (s)
1;8;1;20.853900000000003;27.307513999999994;1147.904;1138.194;0.30946796522472986;0.00853105885288441;0.0014925003051757812;0.0012230873107910156
1;16;2;20.764599999999998;26.869143;1147.904;1138.194;0.2939879891738826;0.00853105885288441;0.0011942386627197266;0.0009877681732177734
1;32;3;28.3523;41.879441;1465.344;2031.448;0.47710912342208567;0.3863283979734451;0.0011336803436279297;0.0008764266967773438
1;64;4;28.8543;42.610173999999994;1530.88;2390.914;0.47673566851387816;0.56179060409699;0.0011441707611083984;0.0007922649383544922
1;96;5;34.4328;49.229846;1530.88;2390.914;0.42973693687414327;0.56179060409699;0.0009963512420654297;0.0008101463317871094
1;128;6;33.1292;48.306979000000005;1530.88;2390.914;0.45813901331755713;0.56179060409699;0.0009527206420898438;0.0007007122039794922
1;160;7;32.0657;45.852484999999994;1530.88;2390.914;0.42995428136606995;0.56179060409699;0.0009245872497558594;0.0006585121154785156
2;8;8;818.52;1602.693872;66119.68;66067.827;0.9580387430972976;0.0007848449442722227;0.001051187515258789;0.00044536590576171875
2;16;9;827.716;1611.080695;66119.68;66067.827;0.9464172433540008;0.0007848449442722227;0.000911712646484375;0.0005555152893066406
2;32;10;811.616;1584.3870369999997;66127.872;66067.827;0.9521387417202221;0.0009088387302340628;0.0008592605590820312;0.0005764961242675781
2;64;11;856.2;1653.809495;66119.68;66067.827;0.9315691368839054;0.0007848449442722227;0.0011212825775146484;0.0004487037658691406
2;96;12;854.707;1652.5092379999999;66119.68;66067.827;0.9334219071564873;0.0007848449442722227;0.0010089874267578125;0.0004546642303466797
2;128;13;846.201;1642.622446;66119.68;66067.827;0.9411728962740531;0.0007848449442722227;0.0008714199066162109;0.0004215240478515625
2;160;14;853.988;1656.560061;66119.68;66067.827;0.9397931364375143;0.0007848449442722227;0.0008757114410400391;0.0006144046783447266
3;8;15;31.0936;31.084416;105.472;11.133;0.0002954535159997995;8.47381658133477;0.0010883808135986328;0.0006558895111083984
3;16;16;41.5324;41.526092;9.216;5.136;0.0001519044941673542;0.794392523364486;0.0006911754608154297;0.00044274330139160156
3;32;17;35.7581;35.753631999999996;9.216;5.136;0.000124966325099507;0.794392523364486;0.0007159709930419922;0.00041294097900390625
3;64;18;35.5644;35.559439999999995;9.216;5.136;0.00013948476129010956;0.794392523364486;0.0008285045623779297;0.00035572052001953125
3;96;19;37.419599999999996;37.41482;9.216;5.136;0.00012775686212029846;0.794392523364486;0.0007233619689941406;0.0003247261047363281
3;128;20;35.1881;35.183158999999996;9.216;5.136;0.00014043650827377796;0.794392523364486;0.0006952285766601562;0.0002942085266113281
3;160;21;42.6356;42.630749;9.216;5.136;0.0001137911041626527;0.794392523364486;0.0006604194641113281;0.0002932548522949219
4;8;22;27.3858;104.66091582499999;16588.8;20576.339;2.821722053947666;0.24037537374614204;0.007827043533325195;0.0029413700103759766
4;16;23;24.4776;93.08160058999998;30042.112;32090.917;2.802725781530868;0.06819776851907089;0.008056640625;0.0031707286834716797
4;32;24;25.0377;92.97872811700003;37963.776;31157.322;2.7135490926482877;0.21845439733235095;0.008100509643554688;0.003061056137084961
4;64;25;26.2525;147.542639051;30522.368;12683.414;4.620136712732121;1.4064788865206168;0.008059978485107422;0.0029044151306152344
4;96;26;30.424;133.4135118;53597.184;15954.082;3.385140408887721;2.3594652453209153;0.008422613143920898;0.0031855106353759766
6;8;27;2.66827;2.8611713250000004;941.056;132.335;0.07229452978896456;6.111164846790342;0.002703428268432617;0.0013003349304199219
6;16;28;2.01672;2.1692246025;1286.144;151.785;0.07562011707128402;7.47345916921962;0.0023872852325439453;0.0009846687316894531
6;32;29;1.37522;1.9920872152000002;2613.248;243.636;0.448558932534431;9.726033919453611;0.002447366714477539;0.0009853839874267578
6;64;30;2.23013;1.962040391;876.544;139.243;0.13663817025874891;5.295066897438291;0.001722574234008789;0.0007994174957275391
6;96;31;2.23424;1.969306479;1275.904;178.903;0.13453138138992515;6.131820036556123;0.0017116069793701172;0.0008153915405273438
6;128;32;2.60855;2.2479673130000006;1667.072;212.704;0.1604038835061119;6.83752068602377;0.0017194747924804688;0.0008752346038818359
6;160;33;3.2196;2.8043379;2064.384;252.365;0.1480784822684884;7.180151764309631;0.0017423629760742188;0.0006823539733886719
7;8;34;12.000399999999999;12.060155675;704.512;272.568;0.004979473600879913;1.5847201432303133;0.0017845630645751953;0.0007307529449462891
7;16;35;7.74647;7.902182625000001;1016.832;212.455;0.020101107343086788;3.7861052928855523;0.001888275146484375;0.0008246898651123047
7;32;36;4.05659;4.192394788;1694.72;365.063;0.03347757303548038;3.642267225109091;0.0018820762634277344;0.0006234645843505859
7;64;37;4.9323999999999995;5.364080650000001;3819.52;726.027;0.08751939218230498;4.26085118046574;0.0018701553344726562;0.0006918907165527344
7;96;38;7.04969;9.6117123;9176.064;1191.748;0.36342339875937824;6.699668050628153;0.001953601837158203;0.0008187294006347656
7;128;39;10.0669;13.113235519999998;12904.448;1654.564;0.3026090971401323;6.799304227578988;0.0019683837890625;0.0007312297821044922
7;160;40;7.74432;10.981293090000001;8448.0;655.799;0.41798028619685157;11.881995855437413;0.001382589340209961;0.0006122589111328125
8;8;41;8.63735;8.766710994999997;863.232;86.189;0.014976931003142901;9.015570432421772;0.0026693344116210938;0.0011453628540039062
8;16;42;5.31991;5.3165393955;1670.144;149.15;0.0006339846748528721;10.197747234327858;0.002607583999633789;0.0008752346038818359
8;32;43;3.5671399999999998;3.4749934380000003;1700.864;178.1;0.026517046332332983;8.550050533408198;0.0021905899047851562;0.0009551048278808594
8;64;44;2.86898;4.585883937999999;2889.728;503.599;0.5984370535869887;4.738152776316077;0.002060413360595703;0.0009713172912597656
8;96;45;3.48253;5.7738121840000005;4180.992;661.624;0.6579360935871335;5.3192870875300775;0.0022356510162353516;0.0010039806365966797
8;128;46;4.26827;7.197556688000001;5944.32;832.728;0.686293671206367;6.138369311467851;0.002167940139770508;0.0011141300201416016
8;160;47;5.48046;9.391675072999998;7271.424;997.254;0.7136654720589144;6.291446311571575;0.002340078353881836;0.0009477138519287109
9;8;48;179.025;179.015554;72.704;7.926;5.276636464790485e-05;8.17284885187989;0.0030128955841064453;0.0011627674102783203
9;16;49;189.936;189.923917;72.704;7.926;6.36202127193286e-05;8.17284885187989;0.0029768943786621094;0.0010750293731689453
9;32;50;176.586;176.57867000000002;72.704;7.926;4.151124255269423e-05;8.17284885187989;0.003053903579711914;0.0009932518005371094
9;64;51;234.519;234.50459599999996;72.704;7.926;6.142310319590116e-05;8.17284885187989;0.003003358840942383;0.0010378360748291016
9;96;52;243.69;243.675008;72.704;7.926;6.152456964314545e-05;8.17284885187989;0.0028994083404541016;0.0010540485382080078
9;128;53;243.026;243.01037200000002;117.76;7.926;6.431001224904698e-05;13.857431238960384;0.0029675960540771484;0.0010781288146972656
9;160;54;239.86;239.84942700000005;68.608;7.926;4.408182305115638e-05;7.656068634872572;0.002921581268310547;0.0010478496551513672
10;8;55;2.64942;4.9724830299999985;972.8;225.948;0.876819466147307;3.3054154053144975;0.0036385059356689453;0.0018758773803710938
