Query ID;Query DOP;Query ID (Mapped);Actual Execution Time (s);Predicted Execution Time (s);Actual Memory Usage (MB);Predicted Memory Usage (MB);Execution Time Q-error;Memory Q-error;Time Calculation Duration (s);Memory Calculation Duration (s)
1;8;1;20.853900000000003;15.366964;1147.904;1138.194;0.3570605098053201;0.00853105885288441;0.0015244483947753906;0.0010807514190673828
1;16;2;20.764599999999998;15.107582999999998;1147.904;1138.194;0.3744488446629748;0.00853105885288441;0.001116037368774414;0.0008614063262939453
1;32;3;28.3523;22.626941;1465.344;2031.448;0.2530328337356782;0.3863283979734451;0.001107931137084961;0.0006856918334960938
1;64;4;28.8543;23.600614;1530.88;2390.914;0.2226080219777331;0.56179060409699;0.0011136531829833984;0.0006382465362548828
1;96;5;34.4328;27.091155999999998;1530.88;2390.914;0.27099781197967343;0.56179060409699;0.001051187515258789;0.0007650852203369141
1;128;6;33.1292;26.183818999999996;1530.88;2390.914;0.2652546979491419;0.56179060409699;0.001077413558959961;0.0006551742553710938
1;160;7;32.0657;24.950805;1530.88;2390.914;0.28515693181041657;0.56179060409699;0.0010814666748046875;0.0006499290466308594
2;8;8;818.52;674.3508250000001;66119.68;66067.827;0.21378957310536384;0.0007848449442722227;0.0012574195861816406;0.00046825408935546875
2;16;9;827.716;677.214637;66119.68;66067.827;0.22223583894569598;0.0007848449442722227;0.0010685920715332031;0.0004372596740722656
2;32;10;811.616;666.453985;66127.872;66067.827;0.21781250959134102;0.0009088387302340628;0.001064300537109375;0.00041174888610839844
2;64;11;856.2;695.950441;66119.68;66067.827;0.23026001502311;0.0007848449442722227;0.0010924339294433594;0.0005688667297363281
2;96;12;854.707;696.7421899999999;66119.68;66067.827;0.22671916853492124;0.0007848449442722227;0.0010671615600585938;0.0004239082336425781
2;128;13;846.201;691.798396;66119.68;66067.827;0.22319017345625625;0.0007848449442722227;0.0012187957763671875;0.0005638599395751953
2;160;14;853.988;696.84101;66119.68;66067.827;0.22551340656601138;0.0007848449442722227;0.0010676383972167969;0.0004987716674804688
3;8;15;31.0936;31.12657500000001;105.472;100.679;0.0010605076285798987;0.04760675016637039;0.0013432502746582031;0.0005877017974853516
3;16;16;41.5324;41.532092;9.216;5.136;7.415951982503444e-06;0.794392523364486;0.0008842945098876953;0.000370025634765625
3;32;17;35.7581;35.759631999999996;9.216;5.136;4.284343966820536e-05;0.794392523364486;0.0008602142333984375;0.00034165382385253906
3;64;18;35.5644;35.56544;9.216;5.136;2.924272587190302e-05;0.794392523364486;0.0007529258728027344;0.00031638145446777344
3;96;19;37.419599999999996;37.420820000000006;9.216;5.136;3.2603234668693304e-05;0.794392523364486;0.0007495880126953125;0.00030732154846191406
3;128;20;35.1881;35.189159000000004;9.216;5.136;3.0095401570617852e-05;0.794392523364486;0.0007462501525878906;0.00029468536376953125
3;160;21;42.6356;42.636749;9.216;5.136;2.694930996649525e-05;0.794392523364486;0.0007202625274658203;0.00027942657470703125
