Query ID;Query DOP;Query ID (Mapped);Actual Execution Time (s);Predicted Execution Time (s);Actual Memory Usage (MB);Predicted Memory Usage (MB);Execution Time Q-error;Memory Q-error;Time Calculation Duration (s);Memory Calculation Duration (s)
1;8;1;56.804;56.7777825;280.576;263.12;0.00046175632167377856;0.06634235329887495;0.0013172626495361328;0.0005629062652587891
1;16;2;28.3123;28.2603285;569.344;569.482;0.0018390267473358257;0.00024238421762579065;0.0007760524749755859;0.00031828880310058594
1;32;3;15.8672;15.7367235;1193.984;1238.478;0.008291211318544267;0.03726515598198965;0.0007476806640625;0.0002818107604980469
1;64;4;10.9018;10.673822999999999;2707.456;2707.116;0.02135851418933976;0.0001255949135536838;0.0007483959197998047;0.00026154518127441406
1;96;5;11.691;11.400137;4850.688;4289.888;0.025513991630100596;0.13072602361646735;0.0007481575012207031;0.0002613067626953125
1;128;6;12.3751;12.014803;6604.8;5956.974;0.029987757602018217;0.10875085236228998;0.0007467269897460938;0.00023126602172851562
1;160;7;13.0788;12.436648000000002;8272.896;7693.958;0.05163384860615161;0.07524579676676169;0.0007607936859130859;0.00028896331787109375
3;8;8;56.0801;58.637408;4249.6;4561.067;0.04560098858596917;0.07329325112951812;0.0015292167663574219;0.011789321899414062
3;16;9;29.5565;30.40134700000001;5062.656;5538.442;0.028584135469355676;0.09397952379146446;0.00150299072265625;0.0005538463592529297
3;32;10;15.3978;14.909565500000001;6752.256;7619.737;0.032746393582026245;0.12847276525060658;0.0014874935150146484;0.0004999637603759766
3;64;11;12.842600000000001;8.92202;8414.208;10361.026;0.43942739424480104;0.23137269722830722;0.001596689224243164;0.0005447864532470703
3;96;12;14.036700000000002;10.381179;11753.472;14700.283;0.3521296569493697;0.2507183409293867;0.001544952392578125;0.0005147457122802734
3;128;13;22.0962;14.1795835;23196.672;32002.895;0.5583109334628906;0.3796330352905797;0.0014433860778808594;0.0005047321319580078
3;160;14;21.6406;14.665253;26045.44;37251.087;0.4756376858960427;0.4302345055410852;0.0016880035400390625;0.00046825408935546875
4;8;15;54.850199999999994;51.6534155;5277.696;5857.058;0.06188912134958424;0.10977555357489321;0.0014715194702148438;0.0005631446838378906
4;16;16;28.3079;28.782040999999996;5684.224;6429.007;0.016749423305861377;0.13102632830796246;0.0014336109161376953;0.0006465911865234375
4;32;17;13.6998;10.153602500000002;2291.712;2771.283;0.3492551042844152;0.20926320584785518;0.0012600421905517578;0.00037550926208496094
4;64;18;9.31061;5.463041499999999;4362.24;5588.275;0.7042905495043377;0.28105629218016426;0.0012364387512207031;0.0004489421844482422
4;96;19;11.325;9.3016855;6152.192;8663.252;0.21752127611710814;0.40815696259154466;0.001201629638671875;0.0003457069396972656
4;128;20;12.3092;7.553762000000001;9145.344;11954.13;0.629545648909775;0.3071274300890159;0.0011899471282958984;0.0003762245178222656
