query_id;dop;actual_time;predicted_time_mapping;thread_wise_time;actual_memory;predicted_memory_mapping;thread_wise_memory;q_error_mapping;q_error_thread_wise;q_error_mem_mapping;q_error_mem_thread_wise;mapping_inference_time;thread_wise_inference_time;memory_mapping_inference_time;memory_thread_wise_inference_time;time_difference_thread_wise;time_difference_thread_wise_ratio;memory_difference_thread_wise;memory_difference_thread_wise_ratio;q_error_improvement_thread_wise;q_error_mem_improvement_thread_wise
2;64;856196.578;807075.6440000001;1653809.495;66119680;66067827;66067827.0;0.06086286256458995;0.931576856874567;0.0007848449442722227;0.0007848449442722227;0.01207280158996582;0.007344484329223633;0.007947206497192383;0.007194042205810547;846733.851;1.0491381536474664;0.0;0.0;-0.8707139943099771;0.0
3;64;35560.873;35559.439999999995;35559.44;9216;5136;5136.0;4.0298722364662254e-05;4.029872236444021e-05;0.794392523364486;0.794392523364486;0.005246877670288086;0.0029158592224121094;0.0032863616943359375;0.0027065277099609375;7.275957614183426e-12;2.0461395382445357e-16;0.0;0.0;2.220446049250313e-16;0.0
4;64;14345.9;14289.878200000001;124987.878051;30522368;41957316;3803592.0;0.0039203833101948415;7.712445928871665;0.3746415743365652;7.02461673071139;0.04808759689331055;0.029448270797729492;0.03290891647338867;0.030004262924194336;110697.999851;7.746602056482188;-38153724.0;-0.9093461555071826;-7.70852554556147;-6.649975156374825
7;64;4529.726;4533.273550000002;4884.3286499999995;3819520;4270816;278784.0;0.0007831709909169593;0.07828346571072942;0.11815516085790878;12.700642791551882;0.011645078659057617;0.006983757019042969;0.007862091064453125;0.007321357727050781;351.05509999999776;0.07743964623533421;-3992032.0;-0.9347234814143246;-0.07750029471981246;-12.582487630693974
8;64;2335.123;4411.410172;4586.690938;2889728;4006823;357704.0;0.8891553772542173;0.9642181324067296;0.3865744457609852;7.078545389484043;0.01438760757446289;0.008704900741577148;0.009284734725952148;0.008044242858886719;175.28076599999986;0.03973349998432199;-3649119.0;-0.9107262786501924;-0.07506275515251226;-6.691970943723058
9;64;234513.598;234504.596;234504.59600000002;72704;7926;7926.0;3.83873073430685e-05;3.8387307342846455e-05;8.17284885187989;8.17284885187989;0.021349191665649414;0.013878345489501953;0.014901399612426758;0.01404714584350586;2.9103830456733704e-11;1.2410771879598344e-16;0.0;0.0;2.220446049250313e-16;0.0
10;64;2785.3;4208.396969;9903.455859;4240384;6912326;216256.0;0.5109313068610204;2.55561550245934;0.6301179327155277;18.608168097070138;0.01777338981628418;0.01076817512512207;0.012523174285888672;0.010179519653320312;5695.058889999999;1.3532608572696647;-6696070.0;-0.9687144385261922;-2.0446841955983195;-17.97805016435461
11;64;8081.3;6972.924999999999;37906.98569;20146176;26326603;2588844.0;0.1589540974555157;3.690703932535607;0.3067791624574312;6.781919652169076;0.03227710723876953;0.019451379776000977;0.021462440490722656;0.01869964599609375;30934.060690000002;4.436310542562842;-23737759.0;-0.9016643355012418;-3.5317498350800913;-6.475140489711645
13;64;7296.474999999999;7292.775970000001;8387.91397;2733056;2563464;183323.0;0.0005072183781889006;0.14958441850345539;0.06615735582789539;13.908418474495836;0.009543418884277344;0.005414724349975586;0.006034135818481445;0.005287885665893555;1095.137999999999;0.15016750884780009;-2380141.0;-0.9284862202082806;-0.14907720012526648;-13.84226111866794
18;64;4466.81;4828.898549999999;7583.246550000001;8963072;9470338;1792272.0;0.08106199950300064;0.6976872869004951;0.05659510489260833;4.000955212155298;0.014945507049560547;0.00892782211303711;0.00978708267211914;0.008786916732788086;2754.348000000002;0.5703884584611956;-7678066.0;-0.8107488877376922;-0.6166252873974944;-3.94436010726269
