query_id;dop;actual_time_ms;q_error_mapping_time;q_error_thread_wise_time;actual_memory_kb;q_error_mapping_memory;q_error_thread_wise_memory
2;64;856196.578;0.06086286256458995;0.931576856874567;66119680;0.0007848449442722227;0.0007848449442722227
3;64;35560.873;4.0298722364662254e-05;4.029872236444021e-05;9216;0.794392523364486;0.794392523364486
4;64;14345.9;0.0039203833101948415;7.712445928871665;30522368;0.3746415743365652;7.02461673071139
7;64;4529.726;0.0007831709909169593;0.07828346571072942;3819520;0.11815516085790878;12.700642791551882
8;64;2335.123;0.8891553772542173;0.9642181324067296;2889728;0.3865744457609852;7.078545389484043
9;64;234513.598;3.83873073430685e-05;3.8387307342846455e-05;72704;8.17284885187989;8.17284885187989
10;64;2785.3;0.5109313068610204;2.55561550245934;4240384;0.6301179327155277;18.608168097070138
11;64;8081.3;0.1589540974555157;3.690703932535607;20146176;0.3067791624574312;6.781919652169076
13;64;7296.474999999999;0.0005072183781889006;0.14958441850345539;2733056;0.06615735582789539;13.908418474495836
18;64;4466.81;0.08106199950300064;0.6976872869004951;8963072;0.05659510489260833;4.000955212155298
19;64;2657.502;0.012004506487671485;0.7343480245734526;1103872;0.2091990738056586;3.3676880222841223
20;64;635.7299999999998;1.5690283610966929;3.424930250263478;4493312;0.22691324350501363;17.406387101267015
22;64;30508.247;0.23500458585858763;0.191860924060842;45689856;0.019607940983661587;0.06822070785918566
23;64;19296391.713;0.00023086255081539164;0.4228958875509534;16665600;0.0018500947169624027;0.0018500947169624027
25;64;6364194.258;0.0004310345957778683;0.0004929917197384892;4430848;0.09992421315287725;2.8484069949433097
26;64;3669.06;0.06952111985086096;0.1195209835761748;3807232;0.12417551649072078;12.667890850215219
27;64;6004.429;0.0013743364446954232;0.06946137925854412;4472832;0.03269964085393773;7.998847186874428
29;64;8587749.361;0.00043817255560574253;0.00011013072019716574;4163584;0.14609000322798815;2.9583777396013278
30;64;10638.363000000001;0.0367482455159831;0.36615812037998685;372736;0.5890549879807692;0.5890549879807692
31;64;2264.37;2.0325776873920782;13.107633627896503;13826048;0.50560977366779;23.99263021845428
