query_id;dop;predicted_time;actual_time;predicted_memory;actual_memory;Execution Time Q-error;Memory Q-error;Time Prediction Latency (s);Memory Prediction Latency (s)
1;8;47834.64;56804.0;281790.0;280576;0.18750761493778856;0.004326813412408814;0.00044608116149902344;0.00021123886108398438
1;16;25002.158;28312.3;570234.0;569344;0.1323942425282818;0.0015632025629497281;6.175041198730469e-05;8.96453857421875e-05
1;32;15078.512;15867.2;1190917.0;1193984;0.05230544605203136;0.0025753264081376237;5.054473876953125e-05;8.702278137207031e-05
1;64;11291.606;10901.8;2707465.5;2707456;0.03575615451691472;3.5088289522811067e-06;4.4345855712890625e-05;7.677078247070312e-05
1;96;12056.643;11691.0;4847312.5;4850688;0.031275560527328716;0.0006963652539422327;4.1484832763671875e-05;6.29425048828125e-05
1;128;12062.161;12375.1;6604059.0;6604800;0.02594384735387245;0.00011220372198361694;3.9577484130859375e-05;5.9604644775390625e-05
1;160;13953.139;13078.8;8273034.0;8272896;0.06685159738469904;1.668097846274641e-05;3.886222839355469e-05;5.53131103515625e-05
3;8;59976.445;56080.1;4255838.0;4249600;0.06947821620325212;0.0014679028614457135;3.719329833984375e-05;8.535385131835938e-05
3;16;31545.291;29556.5;5060522.0;5062656;0.06728777140815057;0.000421695627447205;4.076957702636719e-05;6.389617919921875e-05
3;32;16271.92;15397.8;6722518.0;6752256;0.056769143765667884;0.004423640070580603;3.933906555175781e-05;8.296966552734375e-05
3;64;12285.729;12842.6;8411709.0;8414208;0.045326696228617624;0.00029708588349874887;4.6253204345703125e-05;6.389617919921875e-05
3;96;20975.852;14036.7;11753677.0;11753472;0.49435775948050464;1.744165468720027e-05;4.38690185546875e-05;8.487701416015625e-05
3;128;20523.824;22096.2;23379232.0;23196672;0.0766122221907124;0.007870094468723776;5.841255187988281e-05;7.200241088867188e-05
3;160;22721.027;21640.6;25994492.0;26045440;0.049925942152712954;0.0019599536701853104;3.910064697265625e-05;6.008148193359375e-05
4;8;54999.02;54850.2;5599302.0;5277696;0.002713199427714086;0.060936817884167604;4.029273986816406e-05;6.842613220214844e-05
4;16;27692.611;28307.9;5649100.5;5684224;0.022218513977773746;0.006217538526708699;4.100799560546875e-05;6.127357482910156e-05
4;32;12704.392;13699.8;2291618.0;2291712;0.07835152045494853;4.1019052913648935e-05;5.412101745605469e-05;6.127357482910156e-05
4;64;9715.176;9310.61;4358019.0;4362240;0.0434521241089465;0.000968559338543562;3.981590270996094e-05;5.6743621826171875e-05
4;96;11984.19;11325.0;6153011.5;6152192;0.058206660458057335;0.00013320455538456955;3.719329833984375e-05;5.1975250244140625e-05
