query_id;dop;actual_time;predicted_time_mapping;thread_wise_time;actual_memory;predicted_memory_mapping;thread_wise_memory;q_error_mapping;q_error_thread_wise;q_error_mem_mapping;q_error_mem_thread_wise;mapping_inference_time;thread_wise_inference_time;memory_mapping_inference_time;memory_thread_wise_inference_time;time_difference_thread_wise;time_difference_thread_wise_ratio;memory_difference_thread_wise;memory_difference_thread_wise_ratio;q_error_improvement_thread_wise;q_error_mem_improvement_thread_wise
3;64;533.148;532.34;532.34;28672;24549;24549.0;0.0015178269526994193;0.0015178269526994193;0.16794981465640157;0.16794981465640157;0.00676417350769043;0.0037817955017089844;0.004238128662109375;0.003534078598022461;0.0;0.0;0.0;0.0;0.0;0.0
8;64;4407.54;4406.268;4406.268;12288;7498;7498.0;0.00028867967177670373;0.00028867967177670373;0.6388370232061884;0.6388370232061884;0.00646519660949707;0.003738880157470703;0.00400090217590332;0.0035543441772460938;0.0;0.0;0.0;0.0;0.0;0.0
9;64;640.587;688.728;705.073;629760;1056922;74358.0;0.0751513845894467;0.10066704444517294;0.6782933180894308;7.469297183894135;0.00607609748840332;0.003278017044067383;0.0037937164306640625;0.003397703170776367;16.345000000000027;0.023732155509867507;-982564.0;-0.9296466532061969;-0.025515659855726236;-6.791003865804704
12;64;546.587;545.604;545.604;9216;4862;4862.0;0.0018016730082623944;0.0018016730082623944;0.8955162484574248;0.8955162484574248;0.006193876266479492;0.003953456878662109;0.004023551940917969;0.003717660903930664;0.0;0.0;0.0;0.0;0.0;0.0
14;64;629.7589999999999;628.871;628.871;9216;4905;4905.0;0.0014120543004843;0.0014120543004843;0.8788990825688074;0.8788990825688074;0.006152629852294922;0.0035789012908935547;0.004745006561279297;0.004088878631591797;0.0;0.0;0.0;0.0;0.0;0.0
20;64;555.764;554.6580000000001;554.658;10240;5632;5632.0;0.0019940215412017626;0.0019940215412019846;0.8181818181818181;0.8181818181818181;0.006420135498046875;0.003728628158569336;0.004053354263305664;0.0037262439727783203;-1.1368683772161603e-13;-2.0496745331648693e-16;0.0;0.0;-2.220446049250313e-16;0.0
23;64;1653.006;1076.346;2080.1440000000002;944128;1310231;185864.0;0.535757089263118;0.2584007559561188;0.38776839581073763;4.079671157405414;0.009168148040771484;0.005301475524902344;0.005761623382568359;0.005667686462402344;1003.7980000000002;0.9325978820936764;-1124367.0;-0.8581440982544299;0.27735633330699927;-3.691902761594677
29;64;3596.826;4079.231;3713.8158124999995;965632;1481254;425951.0;0.1341196377027969;0.0325258470940768;0.5339736048515376;1.2670025425459737;0.009252309799194336;0.005553007125854492;0.006069183349609375;0.005501747131347656;-365.4151875000007;-0.0895794299219634;-1055303.0;-0.7124389199961654;0.10159379060872009;-0.7330289376944361
31;64;1237.406;1110.127;1308.808;685056;1053017;66328.0;0.11465264785020102;0.057702968952793254;0.5371254320814649;9.328307803642504;0.010247468948364258;0.0058596134185791016;0.006194591522216797;0.005939006805419922;198.68100000000004;0.17897141498224983;-986689.0;-0.93701146325273;0.05694967889740776;-8.791182371561039
34;64;1581.0919999999999;1448.107;1613.809;876544;1321046;276124.0;0.09183368356067612;0.020692660515643668;0.5071074583820094;2.17445785226927;0.009972572326660156;0.005993366241455078;0.007066011428833008;0.005929708480834961;165.702;0.11442662731414184;-1044922.0;-0.7909807834095104;0.07114102304503245;-1.6673503938872607
