query_id;dop;actual_time_ms;q_error_mapping_time;q_error_thread_wise_time;actual_memory_kb;q_error_mapping_memory;q_error_thread_wise_memory
3;64;533.148;0.0015178269526994193;0.0015178269526994193;28672;0.16794981465640157;0.16794981465640157
8;64;4407.54;0.00028867967177670373;0.00028867967177670373;12288;0.6388370232061884;0.6388370232061884
9;64;640.587;0.0751513845894467;0.10066704444517294;629760;0.6782933180894308;7.469297183894135
12;64;546.587;0.0018016730082623944;0.0018016730082623944;9216;0.8955162484574248;0.8955162484574248
14;64;629.7589999999999;0.0014120543004843;0.0014120543004843;9216;0.8788990825688074;0.8788990825688074
20;64;555.764;0.0019940215412017626;0.0019940215412019846;10240;0.8181818181818181;0.8181818181818181
23;64;1653.006;0.535757089263118;0.2584007559561188;944128;0.38776839581073763;4.079671157405414
29;64;3596.826;0.1341196377027969;0.0325258470940768;965632;0.5339736048515376;1.2670025425459737
31;64;1237.406;0.11465264785020102;0.057702968952793254;685056;0.5371254320814649;9.328307803642504
34;64;1581.0919999999999;0.09183368356067612;0.020692660515643668;876544;0.5071074583820094;2.17445785226927
36;64;197.132;0.2677038735466588;0.37357202280705293;674816;0.54032062073217;10.933296786857415
38;64;346.572;0.003916343201436856;0.003916343201436634;16384;0.8761021413031032;0.8761021413031032
39;64;191.351;0.006787294605416161;0.006787294605416161;16384;1.0232156087922943;1.0232156087922943
47;64;0.6809999999999999;55.74999999999999;55.74999999999999;51200;1421.2222222222222;1421.2222222222222
51;64;2897.1079999999997;0.034879903752969676;0.06274809223542932;653312;0.637046311716301;6.938756166913748
52;64;1380.491;0.013011838483546923;0.09222370881085062;686080;0.5715062383395522;6.514155851267729
62;64;136837.509;1.5339596673324962e-05;1.5339596673547007e-05;76800;1.31339237303452;1.31339237303452
67;64;684.864;0.4250259905616298;1.0377651621343795;1344512;0.761634704636329;8.45135530311551
69;64;2895.308;0.04421858381514343;0.030218892083329507;713728;0.47821859307747494;9.760583765528887
71;64;27404.691;0.007326494463170352;0.005657389094443799;1362944;0.714702878474831;8.138811034075822
93;64;9202.396999999999;0.00036014455352284536;0.0003601445535230674;143360;5.81077485866312;5.81077485866312
98;64;919.357;0.061055680906682674;0.15126550404249928;754688;0.4244336732530529;8.170632123848641
111;64;694.979;0.0038566593818656347;0.0038566593818656347;239616;0.5020780702469236;0.5020780702469236
