Query ID;Query DOP;Query ID (Mapped);Actual Execution Time (s);Predicted Execution Time (s);Actual Memory Usage (MB);Predicted Memory Usage (MB);Execution Time Q-error;Memory Q-error;Time Calculation Duration (s);Memory Calculation Duration (s)
1;8;1;20.791700000000002;13.431648492264747;1146.88;2420.385;0.5479633800701298;1.1104082380022322;0.0023818016052246094;0.0014603137969970703
1;16;2;23.3485;13.431648492264747;1146.88;2420.385;0.7383197612300787;1.1104082380022322;0.0016863346099853516;0.0009131431579589844
1;32;3;31.7423;14.20727724211216;1464.32;3051.73725;1.2342282380407013;1.0840644462958915;0.0019009113311767578;0.0009372234344482422
1;64;4;32.3168;14.20727724211216;1529.856;3411.20425;1.2746652612795457;1.2297551207433903;0.0017743110656738281;0.0008685588836669922
1;96;5;33.8071;14.20727724211216;1529.856;3411.20425;1.3795622077248901;1.2297551207433903;0.0019443035125732422;0.001093149185180664
2;8;6;860.716;182.56476728873253;66127.872;50493.644;3.71457890140844;0.3096276434317158;0.0016107559204101562;0.0004665851593017578
2;16;7;860.283;182.56476728873253;66118.656;50493.644;3.7122071403812136;0.3094451254102397;0.0015261173248291016;0.0006160736083984375
2;32;8;856.523;182.56476728873253;66118.656;50493.644;3.691611709752184;0.3094451254102397;0.0019359588623046875;0.0005936622619628906
2;64;9;858.801;182.56476728873253;66118.656;50493.644;3.704089473308814;0.3094451254102397;0.0017588138580322266;0.0004775524139404297
2;96;10;861.861;182.56476728873253;66118.656;50493.644;3.720850648235631;0.3094451254102397;0.0018868446350097656;0.0004215240478515625
3;8;11;39.344300000000004;41.63342092651353;106.496;158.0659921875;0.058181767791358086;0.4842434663038988;0.0017752647399902344;0.0006721019744873047
3;16;12;38.463300000000004;42.802353370881086;8.192;60.3279921875;0.11281022093478943;6.364256858825684;0.001177072525024414;0.000644683837890625
3;32;13;1.97141;5.296910857698322;450.56;601.3049375;1.6868641519005796;0.33457239324396304;0.0013985633850097656;0.0007867813110351562
3;64;14;2.2800100000000003;5.055830230256915;883.712;1225.8461875;1.2174596735351666;0.3871557560607981;0.0013816356658935547;0.0007314682006835938
3;96;15;2.4504;4.975566802522541;1318.912;1874.67575;1.030512080689904;0.4213804635942353;0.001337289810180664;0.0007309913635253906
4;8;16;33.2053;8.811777145070025;17659.904;45565.023;2.768286402769226;1.5801399033652732;0.011150836944580078;0.0047490596771240234
4;16;17;26.3412;6.311845898556523;31589.376;49721.08;3.17329580337569;0.573981075156407;0.011361837387084961;0.005013227462768555
4;32;18;31.0457;4.2870049100006;38000.64;61682.236;6.241815825211093;0.6231893989153867;0.01216578483581543;0.004715442657470703
4;64;19;24.9772;4.186445882499218;30646.272;71837.298;4.966206348065618;1.34407950174168;0.012187480926513672;0.004891872406005859
4;96;20;28.394;4.195846558295624;53638.144;93349.252;5.767168342670233;0.7403520151629408;0.012181520462036133;0.0048525333404541016
6;8;21;2.81972;4.691216438687623;941.056;1622.9323125;0.6637171203834507;0.7245863290813723;0.0034809112548828125;0.0018932819366455078
6;16;22;1.84141;17.64637216272503;1285.12;2046.3695625;8.583076100773336;0.592356793529009;0.003423929214477539;0.0017518997192382812
6;32;23;2.02196;17.1477885745275;2612.224;4172.2149375;7.480775373660952;0.597188808272185;0.003627777099609375;0.001611948013305664
6;64;24;1.8826800000000001;28.746638424849984;876.544;1359.792875;14.268998674681828;0.5513115998740508;0.002596616744995117;0.0016505718231201172
6;96;25;2.3405500000000004;28.838209022284584;1275.904;2011.8734375;11.32112495878515;0.5768219532974268;0.0024840831756591797;0.0013232231140136719
7;8;26;12.872;6.761484098875895;692.224;1359.7564375;0.9037240658659518;0.9643300976273577;0.002770662307739258;0.0014307498931884766
7;16;27;6.98445;4.355941519416868;1014.784;1849.09325;0.6034306174374469;0.8221545176116296;0.0023851394653320312;0.0013017654418945312
7;32;28;5.98525;11.742408812509849;1693.696;2648.6058125;0.9618911177494422;0.5638023662451821;0.002647876739501953;0.0014591217041015625
7;64;29;6.0521400000000005;11.76902564531751;3775.488;10203.0865;0.9446056511114265;1.7024550203841198;0.002686023712158203;0.0009682178497314453
7;96;30;7.493729999999999;11.731591616126646;8951.808;14708.449;0.5655209910320558;0.6430702043654197;0.0029981136322021484;0.0015413761138916016
8;8;31;9.277629999999998;281.1772399947298;862.208;1424.26678125;29.30701159614361;0.6518830505516071;0.0037353038787841797;0.0017590522766113281
8;16;32;5.70665;172.07057476407272;1657.856;2770.2785;29.15264205165425;0.6710006779840951;0.0038254261016845703;0.0016388893127441406
8;32;33;4.5307200000000005;131.14562891709056;1699.84;2659.81134375;27.945869291655754;0.5647421779402768;0.0032470226287841797;0.0016241073608398438
8;64;34;3.15989;137.98721473511355;2888.704;4285.2900625;42.66836020719504;0.4834645787522709;0.0030236244201660156;0.0012488365173339844
